nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;kode_desa;kode_desa;nama_desa;tahun;jenis_kelamin;jumlah_buruh_pabrik;satuan
1102;Kabupaten Aceh Tenggara;110207;Darul Hasanah;1102072016;Rambung Jaya;2024;Laki-laki;3;Jiwa
1102;Kabupaten Aceh Tenggara;110207;Darul Hasanah;1102072023;Lawe Mamas Indah;2024;Laki-laki;1;Jiwa
1102;Kabupaten Aceh Tenggara;110207;Darul Hasanah;1102072024;Tanjung Leuser;2024;Laki-laki;10;Jiwa
1102;Kabupaten Aceh Tenggara;110207;Darul Hasanah;1102072025;Simpang Iv Tanjung;2024;Laki-laki;0;Jiwa
1102;Kabupaten Aceh Tenggara;110207;Darul Hasanah;1102072026;Lawe Pinis;2024;Laki-laki;6;Jiwa
1102;Kabupaten Aceh Tenggara;110207;Darul Hasanah;1102072027;Buntul Kendawi;2024;Laki-laki;0;Jiwa
1106;Kabupaten Aceh Besar;110601;Lhoong;1106012009;Teungoh Blang Mee;2024;Laki-laki;5;Jiwa
1106;Kabupaten Aceh Besar;110601;Lhoong;1106012010;Lamkuta Blang Mee;2024;Laki-laki;8;Jiwa
1106;Kabupaten Aceh Besar;110601;Lhoong;1106012011;Baroh Blang Mee;2024;Laki-laki;2;Jiwa
1106;Kabupaten Aceh Besar;110601;Lhoong;1106012012;Umong Seuribee;2024;Laki-laki;3;Jiwa
1102;Kabupaten Aceh Tenggara;110208;Lawe Bulan;1102082004;Lawe Sagu Hulu;2024;Laki-laki;2;Jiwa
1102;Kabupaten Aceh Tenggara;110208;Lawe Bulan;1102082027;Lawe Sagu;2024;Laki-laki;0;Jiwa
1102;Kabupaten Aceh Tenggara;110208;Lawe Bulan;1102082028;Pekhapet Timur;2024;Laki-laki;15;Jiwa
1102;Kabupaten Aceh Tenggara;110209;Bukit Tusam;1102092011;Lawe Dua;2024;Laki-laki;29;Jiwa
1102;Kabupaten Aceh Tenggara;110209;Bukit Tusam;1102092012;Rema;2024;Laki-laki;0;Jiwa
1102;Kabupaten Aceh Tenggara;110209;Bukit Tusam;1102092013;Bambel Baru;2024;Laki-laki;0;Jiwa
1102;Kabupaten Aceh Tenggara;110209;Bukit Tusam;1102092014;Pejuang;2024;Laki-laki;0;Jiwa
1102;Kabupaten Aceh Tenggara;110209;Bukit Tusam;1102092015;Darussalam;2024;Laki-laki;2;Jiwa
1102;Kabupaten Aceh Tenggara;110210;Semadam;1102102012;Lawe Petanduk I;2024;Laki-laki;5;Jiwa
1102;Kabupaten Aceh Tenggara;110210;Semadam;1102102013;Ngkeran Alur Buluh;2024;Laki-laki;0;Jiwa
1102;Kabupaten Aceh Tenggara;110210;Semadam;1102102014;Kampung Baru;2024;Laki-laki;0;Jiwa
1102;Kabupaten Aceh Tenggara;110210;Semadam;1102102015;Sepakat Segenap;2024;Laki-laki;10;Jiwa
1102;Kabupaten Aceh Tenggara;110210;Semadam;1102102016;Selamat Indah;2024;Laki-laki;0;Jiwa
1102;Kabupaten Aceh Tenggara;110210;Semadam;1102102017;Lawe Kinge Lapter;2024;Laki-laki;0;Jiwa
1102;Kabupaten Aceh Tenggara;110210;Semadam;1102102018;Lawe Mejile;2024;Laki-laki;2;Jiwa
1102;Kabupaten Aceh Tenggara;110212;Ketambe;1102122006;Jongar Asli;2024;Laki-laki;4;Jiwa
1102;Kabupaten Aceh Tenggara;110210;Semadam;1102102001;Simpang Semadam;2024;Laki-laki;5;Jiwa
1101;Kabupaten Aceh Selatan;110115;Bakongan Timur;1101152001;Pasie Seubadeh;2024;Laki-laki;6;Jiwa
1101;Kabupaten Aceh Selatan;110115;Bakongan Timur;1101152002;Ladang Rimba;2024;Laki-laki;0;Jiwa
1101;Kabupaten Aceh Selatan;110115;Bakongan Timur;1101152003;Ujong Pulo Rayeuk;2024;Laki-laki;10;Jiwa
1101;Kabupaten Aceh Selatan;110115;Bakongan Timur;1101152004;Sawah Tingkeum;2024;Laki-laki;5;Jiwa
1101;Kabupaten Aceh Selatan;110115;Bakongan Timur;1101152005;Simpang;2024;Laki-laki;3;Jiwa
1101;Kabupaten Aceh Selatan;110115;Bakongan Timur;1101152006;Ujong Pulo Cut;2024;Laki-laki;10;Jiwa
1101;Kabupaten Aceh Selatan;110115;Bakongan Timur;1101152008;Seuleukat;2024;Laki-laki;3;Jiwa
1101;Kabupaten Aceh Selatan;110116;Trumon Timur;1101162005;Pinto Rimba;2024;Laki-laki;5;Jiwa
1101;Kabupaten Aceh Selatan;110116;Trumon Timur;1101162006;Krueng Luas;2024;Laki-laki;24;Jiwa
1101;Kabupaten Aceh Selatan;110116;Trumon Timur;1101162007;Jambo Dalem;2024;Laki-laki;0;Jiwa
1101;Kabupaten Aceh Selatan;110116;Trumon Timur;1101162008;Kapa Sesak;2024;Laki-laki;24;Jiwa
1101;Kabupaten Aceh Selatan;110116;Trumon Timur;1101162009;Seuneubok Punto;2024;Laki-laki;0;Jiwa
1101;Kabupaten Aceh Selatan;110116;Trumon Timur;1101162010;Seuneubok Pusaka;2024;Laki-laki;0;Jiwa
1101;Kabupaten Aceh Selatan;110116;Trumon Timur;1101162011;Alur Bujok;2024;Laki-laki;2;Jiwa
1101;Kabupaten Aceh Selatan;110116;Trumon Timur;1101162012;Titi Poben;2024;Laki-laki;6;Jiwa
1102;Kabupaten Aceh Tenggara;110201;Lawe Alas;1102012002;Rumah Kampung;2024;Laki-laki;5;Jiwa
1102;Kabupaten Aceh Tenggara;110202;Lawe Sigala-Gala;1102022001;Bukit Merdeka;2024;Laki-laki;1;Jiwa
1102;Kabupaten Aceh Tenggara;110203;Bambel;1102032002;Kisam;2024;Laki-laki;1;Jiwa
1102;Kabupaten Aceh Tenggara;110205;Badar;1102052011;Purwodadi;2024;Laki-laki;35;Jiwa
1102;Kabupaten Aceh Tenggara;110205;Badar;1102052026;Kumbang Indah;2024;Laki-laki;15;Jiwa
1102;Kabupaten Aceh Tenggara;110205;Badar;1102052027;Natam Baru;2024;Laki-laki;0;Jiwa
1102;Kabupaten Aceh Tenggara;110205;Badar;1102052029;Deleng Megakhe;2024;Laki-laki;13;Jiwa
1102;Kabupaten Aceh Tenggara;110203;Bambel;1102032021;Rikit;2024;Laki-laki;2;Jiwa
1102;Kabupaten Aceh Tenggara;110203;Bambel;1102032038;Terutung Payung Gabungan;2024;Laki-laki;4;Jiwa
